Comment,Designator,Footprint,LCSC
4u7H,L1,R_0603_1608Metric,C1034
PRTR5V0U2X,D1,BF994S,C12333
2.2uF,"C10,C8",C_0402_1005Metric,C12530
C145962,J2,JST_SH_BM05B-SRSS-TB_1x05-1MP_P1.00mm_Vertical,C145962
NSR05F40NXT5G,D7,D_0402_1005Metric,C146713
100nF,"C1,C12,C16,C17,C19,C2,C21,C24,C3,C4,C5,C6,C7,C9",C_0402_1005Metric,C1525
10uF,C18,C_0402_1005Metric,C15525
47pF,C13,C_0402_1005Metric,C1567
8pF,"C15,C23",C_0402_1005Metric,C1578
PTS810,SW4,SW_SPST_B3U-1000P,C231329
4.7uF,C22,C_0402_1005Metric,C23733
Seiko Epson Q22FA12800400,Y1,Seiko Epson Q22FA12800400,C255875
100k,R1,R_0402_1005Metric,C25741
10k,"R13,R4,R5,R6,R8",R_0402_1005Metric,C25744
5.1k,"R2,R3",R_0402_1005Metric,C25905
C2935905,J3,PinHeader_1x06_P2.00mm_Vertical,C2935905
G-Switch GT-USB-7010ASV,J1,GCT_USB4105-GF-A,C2988369
MIC5365-3.3YC5-TR,U2,SOT-23-5,C347376
13+-1%,R7,R_0402_1005Metric,C368403
AMBER,"D3,D4",LED_0402_1005Metric,C401111
Texas Instruments TLV70028DDCR,U3,SOT-23-5,C507266
~,FB1,L_0402_1005Metric,C524454
22uF,"C11,C14,C20,C25",C_0603_1608Metric,C59461
500mA,F1,Fuse_0402_1005Metric,C710338
RED,"D2,D6",LED_0402_1005Metric,C965790
Conn_ARM_JTAG_SWD_10,J4,PinHeader_2x05_P1.27mm_Vertical_SMD,
LPC5526JEV98,IC1,BGA98C50P13X13_700X700X97N,
