Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",18.500000,54.250000,-90.000000,top
"C2","100nF","C_0402_1005Metric",32.100000,16.200000,0.000000,top
"C3","100nF","C_0402_1005Metric",13.350000,18.175000,-90.000000,top
"C4","100nF","C_0402_1005Metric",8.250000,33.825000,90.000000,top
"C5","100nF","C_0402_1005Metric",9.750000,18.175000,-90.000000,top
"C6","100nF","C_0402_1005Metric",8.750000,18.175000,-90.000000,top
"C7","100nF","C_0402_1005Metric",32.900000,10.300000,0.000000,top
"C8","2.2uF","C_0402_1005Metric",25.000000,52.270000,-90.000000,top
"C9","100nF","C_0402_1005Metric",17.375000,27.550000,-90.000000,top
"C10","2.2uF","C_0402_1005Metric",34.000000,51.900000,0.000000,top
"C11","22uF","C_0603_1608Metric",23.675000,29.700000,0.000000,top
"C12","100nF","C_0402_1005Metric",21.475000,29.450000,-90.000000,top
"C13","47pF","C_0402_1005Metric",20.475000,29.450000,-90.000000,top
"C14","22uF","C_0603_1608Metric",21.450000,27.500000,0.000000,top
"C15","8pF","C_0402_1005Metric",18.600000,24.700000,0.000000,top
"C16","100nF","C_0402_1005Metric",10.750000,18.175000,-90.000000,top
"C17","100nF","C_0402_1005Metric",30.100000,16.050000,180.000000,top
"C18","10uF","C_0402_1005Metric",30.100000,15.000000,180.000000,top
"C19","100nF","C_0402_1005Metric",30.100000,10.850000,0.000000,top
"C20","22uF","C_0603_1608Metric",30.400000,9.600000,0.000000,top
"C21","100nF","C_0402_1005Metric",30.100000,11.800000,0.000000,top
"C22","4.7uF","C_0402_1005Metric",30.100000,12.750000,0.000000,top
"C23","8pF","C_0402_1005Metric",18.575000,21.250000,0.000000,top
"C24","100nF","C_0402_1005Metric",1.625000,27.250000,180.000000,top
"C25","22uF","C_0603_1608Metric",30.400000,8.000000,0.000000,top
"D1","PRTR5V0U2X","BF994S",22.500343,54.000000,90.000000,top
"D2","RED","LED_0402_1005Metric",22.900000,24.125000,-90.000000,top
"D3","AMBER","LED_0402_1005Metric",23.950000,24.125000,-90.000000,top
"D4","GREEN","LED_0402_1005Metric",21.850000,24.125000,-90.000000,top
"D6","RED","LED_0402_1005Metric",34.000000,50.800000,180.000000,top
"D7","NSR05F40NXT5G","D_0402_1005Metric",44.000000,22.000000,-90.000000,top
"F1","500mA","Fuse_0402_1005Metric",26.000000,55.250000,90.000000,top
"FB1","600@100Mhz","L_0402_1005Metric",25.500000,53.750000,180.000000,top
"J1","G-Switch GT-USB-7010ASV","GCT_USB4105-GF-A",22.500000,62.000000,180.000000,top
"J4","Conn_ARM_JTAG_SWD_10","PinHeader_2x05_P1.27mm_Vertical_SMD",35.750000,5.500000,90.000000,top
"L1","4u7H","L_0805_2012Metric",18.925000,28.550000,-90.000000,top
"R1","100k","R_0402_1005Metric",17.500000,54.250000,-90.000000,top
"R2","5.1k","R_0402_1005Metric",25.000000,55.250000,90.000000,top
"R3","5.1k","R_0402_1005Metric",19.500000,54.250000,90.000000,top
"R4","10k","R_0402_1005Metric",22.900000,22.125000,90.000000,top
"R5","10k","R_0402_1005Metric",23.950000,22.125000,90.000000,top
"R6","10k","R_0402_1005Metric",21.850000,22.125000,90.000000,top
"R7","13","R_0402_1005Metric",14.750000,7.700000,0.000000,top
"R8","10k","R_0402_1005Metric",14.875000,13.700000,0.000000,top
"R13","10k","R_0402_1005Metric",31.900000,50.800000,0.000000,top
"SW4","PTS810","SW_SPST_B3U-1000P",36.800000,18.650000,0.000000,top
"U2","MIC5365-3.3YC5-TR","SOT-23-5",28.800000,52.100000,0.000000,top
"U3","Texas Instruments TLV70028DDCR","SOT-23-5",32.900000,12.900000,-90.000000,top
"U4","LPC5528JBD64K","QFP50P1200X1200X120-65N",9.500000,26.000000,90.000000,top
"Y1","Seiko Epson Q22FA12800400","Seiko Epson Q22FA12800400",18.575000,22.925000,180.000000,top
